r,g
1.250000,3.152944
3.750000,2.189687
6.250000,2.487795
8.750000,1.790719
11.250000,1.755140
13.750000,1.449270
16.250000,1.481312
18.750000,1.169628
21.250000,1.255463
23.750000,1.044741
26.250000,1.155100
28.750000,1.017930
31.250000,1.074594
33.750000,1.031609
36.250000,1.050247
38.750000,0.999821
41.250000,1.055895
43.750000,0.991476
46.250000,1.034114
48.750000,0.971767
51.250000,1.075525
53.750000,0.926451
56.250000,1.063518
58.750000,0.942156
61.250000,1.037169
63.750000,0.945879
66.250000,1.037938
68.750000,0.944003
71.250000,1.034040
73.750000,0.945930
76.250000,1.025519
78.750000,0.933487
81.250000,1.023624
83.750000,0.941342
86.250000,1.013087
88.750000,0.961662
91.250000,0.993851
93.750000,0.965085
96.250000,0.993210
98.750000,0.973081
